NUTS1;NUTS2;NUTS3;DISTRICT_CODE;T;WV;WK;BZ;SPR;WBER  ; ABG.   ;UNG.   ;OEVP   ;SPOE   ;FPOE   ;NEOS   ;JETZT  ;GRUE   ;KPOE   ;WANDL  ;BIER   ;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;1;896;495;5;102;109;49;54;14;152;7;1;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;2;683;322;2;46;82;26;31;14;113;5;1;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;3;747;385;4;77;74;30;43;12;133;7;3;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;4;848;444;1;89;114;25;43;16;145;5;5;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;5;721;372;4;84;73;25;48;18;110;6;1;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;6;764;393;3;72;98;43;32;21;118;3;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;7;892;437;1;105;87;26;53;15;138;8;1;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;8;813;450;3;95;97;48;59;18;122;4;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;9;681;382;3;82;79;31;45;6;128;5;3;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;10;796;416;0;130;67;25;49;19;120;3;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;11;757;429;2;117;90;37;62;19;98;1;1;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;12;793;373;2;94;71;33;53;17;98;3;2;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;13;820;451;2;104;108;42;51;15;125;0;4;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;14;775;360;4;73;93;29;33;12;112;3;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;15;410;247;2;63;40;20;39;12;68;2;1;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;16;946;461;6;132;113;47;49;8;104;1;1;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;17;705;331;2;65;78;34;49;13;85;4;1;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;18;765;395;2;80;83;33;37;19;135;2;3;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;19;860;473;3;99;102;47;54;15;143;6;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;20;864;424;2;95;124;32;55;15;93;2;4;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;21;894;470;4;109;131;47;25;14;128;5;3;4;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;22;838;423;4;69;142;33;38;16;114;4;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;23;922;420;2;96;137;49;26;11;86;7;3;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;24;806;431;2;66;224;60;16;8;50;3;2;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;25;919;440;3;93;137;52;37;23;84;7;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;26;789;362;2;77;127;58;16;19;55;4;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;27;945;410;2;71;153;76;19;14;67;4;1;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;28;947;414;3;63;157;106;10;16;41;10;3;5;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;29;764;372;2;77;124;40;19;16;85;4;2;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;30;914;446;5;71;160;84;18;17;78;4;5;4;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;31;675;369;2;75;82;42;45;7;108;2;5;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;32;767;395;1;102;94;47;44;16;77;4;5;5;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;33;624;287;2;72;78;34;19;13;63;2;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;34;852;399;2;93;98;43;45;12;98;1;1;6;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;35;644;309;8;52;122;52;16;3;51;3;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;36;720;369;11;89;154;52;12;11;35;1;3;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;37;599;307;1;95;66;16;41;5;77;4;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;38;2040;452;3;110;91;32;75;8;126;5;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;39;743;383;0;94;66;23;46;20;125;7;2;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;40;1026;520;2;143;109;48;74;15;117;10;2;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;41;769;376;2;108;91;23;42;11;89;7;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;42;573;335;1;78;66;33;34;23;98;1;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;43;992;530;1;139;117;44;63;16;138;7;3;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;44;872;421;5;88;98;31;63;12;114;7;0;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;45;679;363;0;82;72;24;65;11;106;1;2;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;46;685;339;1;82;94;33;32;17;76;4;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;47;710;339;4;65;92;32;41;11;85;4;2;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;48;784;425;1;112;104;49;43;19;88;5;1;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;49;646;306;1;77;57;25;31;9;103;1;0;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;50;621;278;1;66;79;26;23;8;68;4;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;51;954;533;5;125;155;52;48;13;127;2;4;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;52;632;337;2;42;101;20;52;14;101;2;1;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;53;476;196;2;17;101;42;8;3;20;2;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;54;829;400;1;106;81;57;48;16;83;1;3;4;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;55;784;388;1;98;88;27;56;11;103;2;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;56;953;480;3;139;79;36;77;13;125;4;3;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;57;811;384;0;108;81;33;58;14;79;7;4;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;58;543;267;1;72;84;42;21;14;31;2;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;59;956;441;2;126;73;42;57;14;123;2;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;60;792;381;4;75;95;35;43;15;105;3;5;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;61;876;427;3;87;108;37;45;14;115;10;6;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;62;658;302;3;54;69;36;33;11;83;2;2;9;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;63;709;348;2;84;83;38;37;18;82;3;1;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;64;777;333;1;65;77;27;37;12;103;6;1;4;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;65;836;395;6;98;98;36;49;11;86;4;3;4;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;66;711;301;2;63;115;68;14;4;26;3;1;5;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;67;710;320;3;84;83;67;22;9;39;5;3;5;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;68;649;377;4;112;72;43;35;15;92;1;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;69;834;357;3;107;69;50;26;16;79;3;3;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;70;462;265;1;49;82;19;32;7;72;2;1;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;71;696;368;3;63;89;13;44;18;133;1;1;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90301;4;9;1;3;72;0;13621;65;3446;2709;927;2040;333;3890;79;71;61;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;1;864;451;2;121;72;26;93;19;115;2;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;2;1395;398;7;100;78;30;53;19;102;6;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;3;855;464;0;124;79;45;80;19;113;2;2;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;4;923;489;3;97;108;19;71;17;168;2;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;5;797;364;0;66;95;16;56;11;112;2;3;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;6;930;444;1;84;93;27;41;22;168;5;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;7;914;472;4;81;126;32;58;26;134;5;6;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;8;936;485;2;103;90;35;56;20;172;2;3;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;9;879;457;4;92;124;40;58;14;119;4;2;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;10;652;309;0;70;81;16;26;13;95;7;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;11;765;384;1;85;66;39;45;15;128;3;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;12;702;305;2;56;101;39;21;7;73;4;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;13;939;479;2;105;88;38;51;9;171;10;3;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;14;833;433;0;90;92;36;47;25;134;5;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;15;574;259;3;67;44;19;34;11;79;0;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;16;670;313;5;81;77;26;36;10;69;6;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;17;1226;510;4;86;150;55;39;20;145;5;0;6;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;18;991;497;1;97;91;41;70;21;168;3;4;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;19;1050;548;7;135;120;36;50;27;168;1;3;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;20;868;463;3;102;96;38;50;16;148;6;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;21;941;466;1;111;102;43;52;23;127;4;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;22;1094;517;3;152;92;34;80;17;134;2;1;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;23;642;307;1;69;106;28;19;12;67;3;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90401;4;9;1;4;24;0;5761;24;1483;1020;310;937;142;1774;33;28;10;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;1;550;277;0;48;57;16;36;14;103;2;1;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;2;677;306;2;50;78;26;32;17;93;5;1;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;3;1145;579;6;109;133;28;69;23;199;8;4;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;4;1161;572;1;99;133;37;71;31;194;2;4;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;5;701;367;0;47;75;26;43;15;151;2;6;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;6;669;360;1;70;113;44;31;9;82;6;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;7;521;276;3;58;54;20;23;18;91;4;3;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;8;678;344;5;44;90;23;40;9;124;4;4;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;9;750;396;4;92;98;29;40;16;112;0;2;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;10;1154;294;3;48;47;18;26;22;122;4;4;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;11;672;365;1;59;104;22;40;19;111;4;4;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;12;686;363;1;45;145;34;28;12;92;4;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;13;685;367;1;57;79;31;43;14;128;5;7;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;14;690;335;1;62;76;27;39;12;107;4;4;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;15;525;249;1;33;75;25;23;9;79;2;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;16;817;409;4;59;142;33;31;20;105;6;5;4;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;17;895;459;0;100;100;34;45;11;154;5;7;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;18;1039;544;1;97;222;58;30;17;104;8;3;4;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;19;919;423;2;86;143;50;30;6;99;1;1;5;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;20;603;286;5;79;112;28;17;6;35;3;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;21;545;261;2;40;114;46;11;9;31;2;3;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;22;937;461;1;98;130;56;45;20;98;6;4;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;23;1059;517;7;90;181;62;33;22;110;5;4;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;24;918;429;1;78;211;60;17;12;41;6;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;25;904;447;3;70;132;46;52;22;113;5;1;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;26;526;254;0;43;72;14;20;11;90;2;2;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;27;927;448;3;68;131;42;36;20;138;4;3;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;28;821;402;2;55;123;23;40;15;137;3;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;29;424;202;0;37;44;18;27;6;70;0;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;30;927;450;0;94;123;40;37;18;133;2;0;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;31;694;291;7;39;161;34;5;7;31;4;1;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;32;782;392;3;57;208;63;16;6;31;3;1;4;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;33;771;404;2;81;130;46;28;14;87;9;5;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;34;428;213;5;37;69;19;15;3;58;6;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;35;1011;492;5;101;176;45;37;16;102;3;4;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;36;800;414;2;109;89;30;28;19;126;5;4;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;37;633;300;2;69;63;25;40;9;81;6;3;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;38;840;453;0;98;92;25;44;23;160;4;2;5;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;39;976;513;2;102;118;40;54;16;168;5;6;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;40;570;291;2;46;72;27;39;14;89;1;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90501;4;9;1;5;41;0;6806;13;1371;1332;436;896;173;2424;75;56;30;                                                                                                                                                                                                                 
AT1;AT13;AT130;;4;9;1;91;1;0;2048;8;497;306;169;348;85;595;12;18;10;                                                                                                                                                                                                                 
AT1;AT13;AT130;;4;9;1;91;2;0;0;0;0;0;0;0;0;0;0;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;;4;9;1;91;3;0;0;0;0;0;0;0;0;0;0;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;1;695;329;0;121;58;33;56;8;47;2;2;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;2;1551;339;0;120;70;39;47;14;42;5;1;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;3;641;314;0;96;90;24;44;7;50;0;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;4;329;144;1;50;13;17;29;7;27;0;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;5;735;319;4;125;42;30;49;12;52;2;2;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;6;544;237;1;83;44;15;37;7;49;1;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;7;551;230;0;80;30;26;40;8;44;1;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;8;591;260;0;98;35;24;44;12;47;0;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;9;756;371;1;106;64;36;66;10;85;1;0;2;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;10;707;332;0;86;80;22;51;10;80;2;1;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;11;487;189;0;68;38;9;23;12;38;0;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;12;608;306;0;121;49;40;51;9;36;0;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;13;520;223;2;85;35;18;36;10;37;0;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;14;533;282;0;92;40;31;47;9;61;1;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;15;737;369;3;131;79;24;57;11;63;1;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;16;493;222;0;72;44;13;33;8;48;0;3;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;17;734;352;1;116;58;32;37;29;77;1;0;1;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;18;560;256;1;97;45;22;34;10;46;1;0;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90101;4;9;2;1;19;0;3889;7;1527;573;222;712;66;738;18;15;11;                                                                                                                                                                                                                 
AT1;AT13;AT130;90601;4;9;2;6;1;608;331;3;68;74;23;25;18;112;5;3;0;                                                                                                                                                                                                                 
AT1;AT13;AT130;90601;4;9;2;6;2;705;383;4;79;97;26;34;11;124;2;3;3;                                                                                                                                                                                                                 
AT1;AT13;AT130;90601;4;9;2;6;3;876;442;3;102;97;43;58;16;120;0;2;1;                                                                                                                                                                                                                 
